Capacite_accueil,NbChambres,frais_menage,Latitude,Longitude,Caution,Prix_Estime
4.0,3.0,30.0,44.8340755657,-0.5704197846,0.0,105.73776005302079
4.0,1.0,0.0,44.8394803064,-0.5799827253,500.0,80.12904993414122
2.0,0.0,0.0,44.8427178643,-0.5718085311,500.0,47.05799311036208
2.0,1.0,5.0,44.860345014,-0.564747931,0.0,52.495626738587816
5.0,3.0,0.0,44.8354451418,-0.5769100921,0.0,105.77289730960001
2.0,1.0,40.0,44.8349951016,-0.5714783426,500.0,74.3122597245756
2.0,1.0,7.0,44.8252403587,-0.5549597386,0.0,46.745193567294336
3.0,1.0,0.0,44.8408463686,-0.5607533536,250.0,62.587536129744876
4.0,1.0,0.0,44.8574033391,-0.5618785543,300.0,74.57612370896186
2.0,1.0,20.0,44.842578641,-0.5917092963,200.0,63.960677769281574
2.0,0.0,10.0,44.8563922768,-0.5776814532,100.0,41.978995603083604
5.0,3.0,40.0,44.8539730613,-0.584536533,0.0,121.78190463735064
3.0,1.0,0.0,44.841164103,-0.5740124799,700.0,76.84393320898653
2.0,1.0,0.0,44.8514880066,-0.5735763719,700.0,70.1121591939991
5.0,2.0,0.0,44.8675576894,-0.54997797,0.0,90.31333751341026
2.0,0.0,0.0,44.8377332085,-0.5681105952,400.0,43.08829221545511
4.0,1.0,0.0,44.8403303259,-0.5704992933,500.0,78.87868678564064
2.0,1.0,30.0,44.8321947772,-0.5847458492,300.0,67.29600687162747
2.0,1.0,0.0,44.8413587091,-0.5561549368,200.0,52.5044194453485
6.0,1.0,80.0,44.8428811889,-0.5896392258,600.0,125.57396118189718
2.0,1.0,0.0,44.843985272,-0.5916129531,0.0,52.533306439560874
4.0,2.0,10.0,44.8296143609,-0.5834841713,450.0,97.04794144875814
6.0,3.0,0.0,44.8457603943,-0.5504098314,1700.0,157.97426201391863
6.0,4.0,50.0,44.8501780646,-0.5820587091,300.0,156.3812149464393
4.0,3.0,60.0,44.8388605704,-0.5517911234,500.0,126.6035227297607
6.0,2.0,25.0,44.8366624691,-0.5715780648,0.0,104.8856396590636
4.0,2.0,15.0,44.8578076734,-0.6358536705,90.0,100.29096750343524
3.0,1.0,30.0,44.8353863129,-0.5676337173,500.0,78.86317201641123
1.0,1.0,0.0,44.8516847704,-0.570847732,100.0,45.22649519135939
4.0,1.0,0.0,44.8546879096,-0.5853863601,200.0,74.85735959938847
2.0,1.0,0.0,44.875675891,-0.5723437277,0.0,54.21850652916146
4.0,1.0,30.0,44.8590590373,-0.5668577455,500.0,90.21440760600217
4.0,3.0,65.0,44.8427224401,-0.6092421785,750.0,143.81691670649252
5.0,3.0,0.0,44.8421450551,-0.5730715638,0.0,106.16317410506599
2.0,1.0,15.0,44.8518533344,-0.5907286611,250.0,64.95645361516927
2.0,0.0,0.0,44.856255195,-0.5825978842,0.0,36.86411326801772
5.0,2.0,20.0,44.8453409413,-0.5806783174,700.0,116.88974281947503
2.0,1.0,5.0,44.8518955298,-0.5758356566,0.0,52.90602786647014
4.0,0.0,10.0,44.8325416115,-0.5728063973,0.0,51.42802762894189
2.0,1.0,0.0,44.8347020556,-0.5667012477,200.0,53.08943807280775
4.0,1.0,0.0,44.845865404,-0.5998433639,0.0,70.23717288130229
2.0,1.0,0.0,44.8233488259,-0.5835704218,0.0,48.46086953318081
3.0,0.0,30.0,44.8335123641,-0.5803384972,500.0,64.33750717562543
4.0,2.0,40.0,44.8389267107,-0.6127688929,500.0,113.17931206689991
2.0,1.0,0.0,44.8305826062,-0.5668880357,0.0,47.07065437188248
2.0,1.0,0.0,44.8404230742,-0.5698321298,500.0,62.54585730723193
5.0,2.0,30.0,44.8419235953,-0.5716358017,500.0,112.70996840715998
2.0,0.0,0.0,44.8517960394,-0.5915152992,0.0,37.52369214500595
2.0,1.0,5.0,44.8570304286,-0.569587262,0.0,52.727391565276776
2.0,0.0,0.0,44.8326753685,-0.5650164891,0.0,30.998315417035883
2.0,1.0,5.0,44.8224988026,-0.5775928287,0.0,49.014056143882044
4.0,2.0,20.0,44.835016397,-0.5672465455,0.0,86.2413688734041
6.0,3.0,60.0,44.855625289,-0.5781746186,0.0,135.367485918895
2.0,1.0,0.0,44.8423500629,-0.5769706609,500.0,63.849055697368385
4.0,2.0,0.0,44.8192095543,-0.576394016,0.0,79.18677812581882
1.0,1.0,0.0,44.8329099332,-0.5813226949,0.0,41.35975999170023
1.0,1.0,0.0,44.8326633268,-0.5789555438,0.0,40.982955693628355
4.0,1.0,0.0,44.8657968121,-0.5720110324,300.0,77.22388910909649
2.0,1.0,0.0,44.8648098906,-0.5758671495,0.0,53.19515144245179
8.0,4.0,50.0,44.8294723064,-0.591822033,1500.0,203.91005220453644
2.0,0.0,25.0,44.8404233007,-0.5787273188,500.0,55.417856580967964
2.0,1.0,15.0,44.8319379284,-0.5798265427,200.0,59.20632971298528
2.0,1.0,35.0,44.8512087764,-0.5837636439,500.0,76.83721911801058
2.0,1.0,0.0,44.8240101049,-0.5753959069,0.0,47.37301092474536
4.0,2.0,0.0,44.8288578709,-0.5583907778,0.0,77.9462410953347
1.0,1.0,0.0,44.8398452908,-0.5742788443,200.0,46.78491160815156
2.0,1.0,0.0,44.8400140001,-0.5846285836,0.0,50.964074401923426
4.0,1.0,0.0,44.836043211,-0.5682270605,0.0,64.28375703696747
2.0,1.0,0.0,44.8334598075,-0.5649355034,0.0,47.1943125625412
4.0,2.0,0.0,44.8265980957,-0.5697416956,0.0,79.26761378260471
6.0,3.0,0.0,44.8585270218,-0.5665949103,0.0,115.66250341859268
4.0,1.0,20.0,44.8380169182,-0.5749000226,300.0,79.87050537214691
2.0,0.0,0.0,44.8574798817,-0.5732567616,0.0,35.68715197345409
2.0,1.0,30.0,44.8412416031,-0.5721270525,300.0,66.74862821152601
4.0,2.0,0.0,44.837646027,-0.5700398772,500.0,94.53080423889605
1.0,1.0,0.0,44.8502972021,-0.5856109628,0.0,44.431514633004554
2.0,1.0,17.0,44.8373869686,-0.5780655617,450.0,67.16607849809134
4.0,2.0,50.0,44.8358654897,-0.5821679292,1000.0,125.06162626138484
4.0,2.0,25.0,44.8364454677,-0.5703996788,150.0,92.53386061046058
2.0,0.0,0.0,44.8545383996,-0.5781354322,300.0,44.1744210121733
2.0,0.0,0.0,44.8421253125,-0.5807166314,0.0,34.5995373662945
2.0,1.0,5.0,44.8241991095,-0.597456564,0.0,52.12392522747359
4.0,2.0,0.0,44.8414627364,-0.5707260523,0.0,81.5062229053492
2.0,0.0,0.0,44.8222320189,-0.5747723325,0.0,30.93507781936114
2.0,1.0,10.0,44.8325580199,-0.5631071188,0.0,49.87646720435623
1.0,1.0,0.0,44.8329116353,-0.5740572202,0.0,40.310225764854295
3.0,1.0,0.0,44.8586039026,-0.5664263047,0.0,59.080579273450894
4.0,2.0,0.0,44.8379173294,-0.5729931283,100.0,84.06617479825672
3.0,1.0,0.0,44.8653609108,-0.5736274985,300.0,69.27121699227791
2.0,0.0,0.0,44.8118668628,-0.5723315354,0.0,29.120599151518945
2.0,1.0,0.0,44.8333189921,-0.5722931744,0.0,48.23754870722041
2.0,1.0,0.0,44.8257312104,-0.5704466458,0.0,46.9006317838448
3.0,1.0,0.0,44.8319573043,-0.5613816718,0.0,54.59368258140421
2.0,1.0,0.0,44.843895673,-0.5801465238,500.0,64.52590951953516
4.0,1.0,40.0,44.8390932648,-0.5801143486,300.0,86.9227413608005
5.0,1.0,20.0,44.8146303521,-0.5629143201,200.0,80.23283012526554
2.0,0.0,0.0,44.8431362167,-0.5808498749,400.0,45.69095980878046
4.0,2.0,30.0,44.8523588913,-0.57220676,0.0,92.47741189541102
5.0,1.0,30.0,44.8415975212,-0.5728762523,1500.0,124.07014667890326
4.0,1.0,15.0,44.8376964738,-0.5812056187,200.0,76.46723828290123
4.0,1.0,0.0,44.8362001842,-0.5686148941,0.0,64.36193251064287
4.0,2.0,0.0,44.8426691222,-0.5709147816,0.0,81.70363033290232
2.0,1.0,0.0,44.8297344818,-0.5671223086,100.0,49.717292094816
2.0,1.0,0.0,44.8523198167,-0.5846459353,400.0,63.63168936549209
2.0,1.0,0.0,44.8229550062,-0.5820982299,0.0,48.19261444501535
4.0,2.0,30.0,44.8429947146,-0.5807031879,600.0,108.77880273613573
4.0,1.0,30.0,44.8363273668,-0.5771224276,200.0,80.29445098755332
4.0,1.0,20.0,44.8302882961,-0.5691998096,0.0,69.75971335801569
2.0,0.0,0.0,44.8352953918,-0.5779511821,0.0,33.23672959304349
2.0,1.0,20.0,44.8516282049,-0.5735609604,500.0,70.8119337360231
4.0,1.0,0.0,44.8328942579,-0.5885824967,0.0,66.7807730156037
3.0,1.0,0.0,44.8331660973,-0.5726199628,0.0,56.387959130310264
2.0,1.0,0.0,44.833473547,-0.5708177878,800.0,69.90537226414017
